%DATA MadgeTech Data File                       
%FORMAT CSV                                     
%VERSION 2.02.00                                
%BEGIN

"[Device]"
"DeviceType","&H0012"
"Revision","REV2"
"Subtype","&H00000007"
"Memory","MEM64K"
"CommPort","0"
"BaudRate","2400"
"DeviceName","RHTemp1000"
"DeviceDescription","Temperature and Humidity Recorder"
"Status","&H00008000"
"Address","&H0000F090"
"Readings","20528"
"TimeZone","TZUTC-100000|STANDARD|HST"
"LaunchDate","41394.7757407407"
"StartDelay","0"
"StartDate","41394.7757407407"
"ReadingRate","R30M"
"SerialNumber","M44593"
"UserID","RHT G8"
"Channels","2"
"CalibrationDate","38594"
"CalibrationOffset(0)","+0.2"
"CalibrationOffset(1)","+2.4"
"CalibrationGain(0)","+1"
"CalibrationGain(1)","+1.028"
"Unit(0)","UNITDEGREESC"
"Unit(1)","UNITPERCENTRH"
"UnitType(0)","UTYPTEMPERATURE"
"UnitType(1)","UTYPRELATIVEHUMIDITY"
"ChannelName(0)",""
"ChannelName(1)",""
"PowerStatus",""
"[End Device]"

"[Dataset]"
"Title","Untitled Dataset"
"Comment",""
"Version","2.07.1"
"Created","41821.9277199074"
"Updated","41821.9277662037"
"TimeZone","TZUTC-100000|STANDARD|HST"
"StartDate","41394.7757407407"
"EndDate","41822.4215740741"
"DataMode","DMSTANDARD"
"Channels","2"
"Readings","20528"
"[End Dataset]"

"[Display]"
"BackColor","&H00FFFFFF"
"ChartColor","&H00F0FFFF"
"GridMajor","5"
"GridMinor","2"
"TimeZone","TZUTC-100000|STANDARD|HST"
"StartTime","41394"
"EndTime","41823"
"Channels","2"
"Enabled(0)","True"
"Enabled(1)","True"
"Visible(0)","True"
"Visible(1)","True"
"Unit(0)","UNITDEGREESC"
"Unit(1)","UNITPERCENTRH"
"UnitType(0)","UTYPTEMPERATURE"
"UnitType(1)","UTYPRELATIVEHUMIDITY"
"MinValue(0)","-20"
"MinValue(1)","+10"
"MaxValue(0)","+50"
"MaxValue(1)","+110"
"ForeColor(0)","&H000000FF"
"ForeColor(1)","&H00FF0000"
"FillColor(0)","&H00000000"
"FillColor(1)","&H00000000"
"FillStyle(0)","FSSOLID"
"FillStyle(1)","FSSOLID"
"DrawWidth(0)","1"
"DrawWidth(1)","1"
"SymbolStyle(0)","SYMSOLIDSQUARE"
"SymbolStyle(1)","SYMSOLIDSQUARE"
"SymbolSize(0)","1"
"SymbolSize(1)","1"
"SymbolColor(0)","&H00000000"
"SymbolColor(1)","&H00000000"
"Symbols(0)","128"
"Symbols(1)","128"
"[End Display]"

"[Reading]"
# ID #,# DateTime #,# Temperature (°C) #,# StatusByte #,# Annotation #,# Humidity (%RH) #,# StatusByte #,# Annotation #,# Status #,# Selections #
"0","41394.7757407407","+20.2","0","","+46.5","0","","&B10000000","&B00000000"
"1","41394.7965740741","+19.3","0","","+44","0","","&B10000000","&B00000000"
"2","41394.8174074074","+18","0","","+50.5","0","","&B10000000","&B00000000"
"3","41394.8382407407","+12.4","0","","+62.5","0","","&B10000000","&B00000000"
"4","41394.8590740741","+12.9","0","","+61","0","","&B10000000","&B00000000"
"5","41394.8799074074","+13.4","0","","+60.5","0","","&B10000000","&B00000000"
"6","41394.9007407407","+14.2","0","","+59","0","","&B10000000","&B00000000"
"7","41394.9215740741","+15","0","","+55","0","","&B10000000","&B00000000"
"8","41394.9424074074","+15.9","0","","+51","0","","&B10000000","&B00000000"
"9","41394.9632407407","+16.4","0","","+51","0","","&B10000000","&B00000000"
"10","41394.9840740741","+16.4","0","","+51.5","0","","&B10000000","&B00000000"
"11","41395.0049074074","+15.9","0","","+52.5","0","","&B10000000","&B00000000"
"12","41395.0257407407","+16","0","","+53.5","0","","&B10000000","&B00000000"
"13","41395.0465740741","+15.4","0","","+55.5","0","","&B10000000","&B00000000"
"14","41395.0674074074","+15.4","0","","+55.5","0","","&B10000000","&B00000000"
"15","41395.0882407407","+15.6","0","","+55.5","0","","&B10000000","&B00000000"
"16","41395.1090740741","+15","0","","+56.5","0","","&B10000000","&B00000000"
"17","41395.1299074074","+13.6","0","","+69.5","0","","&B10000000","&B00000000"
"18","41395.1507407407","+11.9","0","","+73.5","0","","&B10000000","&B00000000"
"19","41395.1715740741","+10.9","0","","+74.5","0","","&B10000000","&B00000000"
"20","41395.1924074074","+10.2","0","","+76.5","0","","&B10000000","&B00000000"
"21","41395.2132407407","+8.9","0","","+85.5","0","","&B10000000","&B00000000"
"22","41395.2340740741","+8.7","0","","+86.5","0","","&B10000000","&B00000000"
"23","41395.2549074074","+8.7","0","","+85","0","","&B10000000","&B00000000"
"24","41395.2757407407","+8.8","0","","+83.5","0","","&B10000000","&B00000000"
"25","41395.2965740741","+8.6","0","","+84","0","","&B10000000","&B00000000"
"26","41395.3174074074","+8.6","0","","+84","0","","&B10000000","&B00000000"
"27","41395.3382407407","+8.6","0","","+83.5","0","","&B10000000","&B00000000"
"28","41395.3590740741","+8.6","0","","+82","0","","&B10000000","&B00000000"
"29","41395.3799074074","+8.6","0","","+82","0","","&B10000000","&B00000000"
"30","41395.4007407407","+8.9","0","","+79","0","","&B10000000","&B00000000"
"31","41395.4215740741","+8.9","0","","+76.5","0","","&B10000000","&B00000000"
"32","41395.4424074074","+8.7","0","","+77.5","0","","&B10000000","&B00000000"
"33","41395.4632407407","+8.6","0","","+78","0","","&B10000000","&B00000000"
"34","41395.4840740741","+8.5","0","","+78","0","","&B10000000","&B00000000"
"35","41395.5049074074","+8.4","0","","+79.5","0","","&B10000000","&B00000000"
"36","41395.5257407407","+8.3","0","","+80.5","0","","&B10000000","&B00000000"
"37","41395.5465740741","+8.2","0","","+81.5","0","","&B10000000","&B00000000"
"38","41395.5674074074","+8.1","0","","+82","0","","&B10000000","&B00000000"
"39","41395.5882407407","+8.1","0","","+83","0","","&B10000000","&B00000000"
"40","41395.6090740741","+8","0","","+83","0","","&B10000000","&B00000000"
"41","41395.6299074074","+8","0","","+83","0","","&B10000000","&B00000000"
"42","41395.6507407407","+8.1","0","","+82.5","0","","&B10000000","&B00000000"
"43","41395.6715740741","+8","0","","+82.5","0","","&B10000000","&B00000000"
"44","41395.6924074074","+8.2","0","","+82","0","","&B10000000","&B00000000"
"45","41395.7132407407","+8.4","0","","+81.5","0","","&B10000000","&B00000000"
"46","41395.7340740741","+8.5","0","","+81","0","","&B10000000","&B00000000"
